City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
199,arteche,12.2645,125.4048,27.08,88,99,4.85,PH,1704674997
200,bodo,67.28,14.405,4.02,70,75,9.26,NO,1704674999
201,ajaokuta,7.5623,6.655,25.68,24,1,1.54,NG,1704675000
202,kingston,17.997,-76.7936,27.53,86,20,3.09,JM,1704674714
203,hun,29.1268,15.9477,10.84,32,44,2.97,LY,1704675001
204,kerikeri,-35.2268,173.9474,22.2,59,0,3.94,NZ,1704675002
205,yantarnyy,54.8717,19.9381,-17.08,82,36,8.12,RU,1704675003
206,kushiro,42.975,144.3747,-1.47,69,20,0.51,JP,1704675004
207,naze,28.3667,129.4833,13.51,64,83,4.12,JP,1704675005
208,salas,43.4118,-6.2602,5.84,84,100,1.86,ES,1704675006
209,pitimbu,-7.4706,-34.8086,26.33,76,0,3.53,BR,1704675008
210,college,64.8569,-147.8028,-10.03,79,100,0.0,US,1704675009
211,algeciras,36.1333,-5.4505,11.82,54,1,6.17,ES,1704674759
212,prado,-17.3411,-39.2208,24.86,91,100,1.8,BR,1704675012
213,mutoko,-17.397,32.2268,17.63,91,67,1.45,ZW,1704675013
214,palmer,42.1584,-72.3287,-2.87,80,99,1.94,US,1704675014
215,tangalle,6.024,80.7911,25.09,90,75,3.64,LK,1704675014
216,south sioux city,42.4739,-96.4136,-3.78,82,0,3.13,US,1704675016
217,afaahiti,-17.75,-149.2833,28.93,81,63,4.81,PF,1704675016
218,tatarsk,55.219,75.9828,-1.64,97,100,5.34,RU,1704675018
219,chegdomyn,51.1167,133.0167,-27.85,95,73,0.13,RU,1704675019
220,quartu sant'elena,39.2419,9.1839,10.04,75,40,6.69,IT,1704675021
221,north bay,46.3168,-79.4663,-7.16,88,0,1.54,CA,1704674974
222,na mom,6.9586,100.5568,24.91,100,75,0.0,TH,1704675023
223,rypin,53.066,19.4094,-9.08,70,100,5.72,PL,1704675024
224,mount isa,-20.7333,139.5,27.87,78,100,2.06,AU,1704675025
225,fort mcmurray,56.7268,-111.381,-20.23,77,100,2.06,CA,1704674741
226,la ronge,55.1001,-105.2842,-24.86,77,20,0.51,CA,1704675027
227,salekhard,66.53,66.6019,-31.21,100,98,0.78,RU,1704675028
228,mabaruma,8.2,-59.7833,22.33,90,6,1.4,GY,1704675030
229,pariaman,-0.619,100.12,25.03,83,100,1.46,ID,1704675030
230,pahlgam,34.0333,75.3333,-3.67,43,100,4.0,IN,1704675032
231,tateyama,34.9833,139.8667,7.75,45,0,8.06,JP,1704675032
232,lazaro cardenas,17.9583,-102.2,25.59,71,100,1.03,MX,1704675033
233,barcelos,41.5388,-8.6151,6.58,78,98,1.98,PT,1704675035
234,bubaque,11.2833,-15.8333,26.43,68,5,4.69,GW,1704675036
235,lihue,21.9789,-159.3672,26.58,73,75,7.72,US,1704675037
236,margaret river,-33.95,115.0667,24.33,50,92,1.71,AU,1704674924
237,changde,29.0464,111.6783,7.76,63,86,1.47,CN,1704675039
238,bereeda,11.8704,51.0579,23.74,56,8,6.3,SO,1704675040
239,madang,-5.2246,145.7966,28.53,73,72,1.76,PG,1704675041
240,nagqu,31.5,92.0,-16.93,59,0,1.65,CN,1704675042
241,kenora,49.8167,-94.4337,-15.46,78,20,3.09,CA,1704674777
242,mata-utu,-13.2816,-176.1745,28.89,74,100,4.73,WF,1704675043
243,dunedin,-45.8742,170.5036,17.65,69,100,2.83,NZ,1704675044
244,el matama,16.7095,33.3565,21.91,35,5,4.56,SD,1704675045
245,barakani,-12.1356,44.4317,27.14,79,65,2.3,KM,1704675046
246,saint-philippe,-21.3585,55.7679,24.77,82,54,3.39,RE,1704675047
247,sisimiut,66.9395,-53.6735,-10.71,83,100,5.79,GL,1704675048
248,tolanaro,-25.0319,46.9987,23.04,100,40,5.14,MG,1704675048
249,touros,-5.1989,-35.4608,27.04,75,18,3.8,BR,1704675049
250,vuktyl,63.8567,57.3094,-32.16,100,100,1.34,RU,1704675050
251,mudukulattur,9.3417,78.5139,23.81,92,61,4.27,IN,1704675051
252,tromso,69.6496,18.957,-0.99,86,75,3.09,NO,1704675051
253,yashan,22.1975,109.9419,19.0,73,89,0.77,CN,1704675052
254,acapulco de juarez,16.8634,-99.8901,27.9,74,75,1.54,MX,1704674989
255,codrington,-38.2667,141.9667,17.17,88,100,7.41,AU,1704675054
256,hassi messaoud,31.6804,6.0729,5.92,52,0,2.06,DZ,1704675055
257,quatre cocos,-20.2078,57.7625,25.06,76,97,3.22,MU,1704675055
258,smithers,54.7804,-127.1743,-3.82,100,75,1.54,CA,1704675056
259,georgievka,49.3314,81.5761,-4.13,87,100,8.64,KZ,1704675057
260,jolo,6.05,121.0167,28.46,74,100,1.16,PH,1704675058
261,queenstown,-31.8976,26.8753,15.45,81,98,1.74,ZA,1704675058
262,chernyshevsk,52.5243,117.0174,-32.41,100,22,0.11,RU,1704675059
263,akobo,7.4344,3.9497,24.26,86,2,0.92,NG,1704675060
264,cold lake,54.4502,-110.2017,-20.03,84,75,2.57,CA,1704674974
265,talakan,50.3167,130.3667,-24.65,92,95,1.34,RU,1704675061
266,nadym,65.5333,72.5167,-19.77,94,100,3.16,RU,1704675062
267,oliveira dos brejinhos,-12.3169,-42.8961,21.92,97,100,0.96,BR,1704675063
268,howrah,22.5892,88.3103,15.0,88,6,3.09,IN,1704675064
269,happy valley-goose bay,53.3168,-60.3315,-13.83,47,100,9.77,CA,1704675065
